Order,Action,Time
359, PEGAR PARAFUSO E PARAFUSADEIRA,"1,3"
360, POSICIONAR O 1°PARAFUSO NA PARAFUSADEIRA,"1,63"
361, FIXAR O 1°PARAFUSO SUPERIOR PAINEL FRONTAL COM PAINEL LATERAL,"3,1"
362, POSICIONAR O 2°PARAFUSO NA PARAFUSADEIRA,"0,96"
363, FIXAR O 2°PARAFUSO INFERIOR PAINEL FRONTAL COM PAINEL LATERAL,"2,53"
364, POSICIONAR O 3°PARAFUSO NA PARAFUSADEIRA,"1,76"
365, FIXAR 3°PARAFUSO INFERIOR PAINEL LATERAL COM BASE DO PRODUTO,"1,6"
366, GIRAR O PRODUTO,"2,86"
367, POSICIONAR O 4°PARAFUSO NA PARAFUSADEIRA,"1,23"
368, FIXAR O 4°PARAFUSO SUPERIOR PAINEL FRONTAL COM O CONDENSADOR,"2,1"
369, POSICIONAR O 5°PARAFUSO NA PARAFUSADEIRA,"0,8"
370, FIXAR O 5°PARAFUSO INFERIOR PAINEL FRONTAL COM O CONDENSADOR,"1,6"
371, POSICIONAR A PARAFUSADEIRA NO SUPORTE,"0,93"
372, PEGAR A TAMPA SUPERIOR NO CARRO,"0,9"
373, POSICIONAR A TAMPA SUPERIOR SOBRE O PRODUTO,"4,67"
374, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"1,83"
375, PEGAR PARAFUSO E PARAFUSADEIRA,"1,7"
376, POSICIONAR 1° PARAFUSO NA PARAFUSADEIRA,"1,13"
377, FIXAR 1°PARAFUSO NA PARAFUSO TAMPA SUPERIOR COM PAINEL FRONTAL,"2,2"
378, POSICIONAR O 2°PARAFUSO NA PARAFUSADEIRA,"1,13"
379, FIXAR 2°PARAFUSO CANTONEIRA COM TAMPA SUPERIOR,"1,76"
380, POSICIONAR O 3°PARAFUSO NA PARAFUSADEIRA,"0,73"
381, FIXAR O 3°PARAFUSO CANTONEIRA COM TAMPA SUPERIOR,"1,43"
382, POSICIONAR O 4°PARAFUSO NA PARAFUSADEIRA,"1,13"
383, FIXAR O 4°PARAFUSO TAMPA SUPERIOR COM PAINEL LATERAL,"1,63"
384, POSICIONAR O 5°PARAFUSO NA PARAFUSADEIRA,"0,66"
385, FIXAR O 5°PARAFUSO TAMPA SUPERIOR COM PAINEL LATERAL,"1,3"
386, POSICIONAR O 6°PARAFUSO NA PARAFUSADEIRA,"1,6"
387, FIXAR O 6°PARAFUSO TAMPA SUPERIOR COM PAINEL LATERAL,"1,83"
388, POSICIONAR O 7°PARAFUSO NA PARAFUSADEIRA,"0,66"
389, FIXAR O 7° PARAFUSO TAMPA SUPERIOR COM PAINEL FRONTAL,"1,4"
390, GIRAR O PRODUTO,"1,08"
391, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"1,46"
392, PEGAR ETIQUETA CONSUL NO SUPORTE,"5,27"
393, ADERIR ETIQUETA CONSUL NO PAINEL FRONTAL,"1,9"
394, PEGAR O CODIGO DO PRODUTO SOBRE O PALLET,"0,8"
395, PISAR NA PEDALEIRA E GIRAR O PRODUTO,"1,86"
396, PEGAR O CABO ALIMENTAÇÃO,1
397, CONECTAR O CABO DE ALIMENTAÇÃO NA TOMADA,"1,03"
398, PEGAR O LEITOR DE CODIGOS NO SUPORTE,"0,8"
399, LER O CODIGO DO PRODUTO,"0,96"
400, POSICIONAR O LEITOR DE CODIGO NO SUPORTE,"0,8"
401, PEGAR A PONTEIRA DO HIPOT NO SUPORTE,"0,8"
402, POSICIONAR A PONTEIRA DO HIPOT NO SUPORTE DOS COMPONENTES,"2,93"
403, POSICIONAR A PONTEIRA DO HIPOT NO SUPORTE,"0,86"
404, DESTACAR O CODIGO DO PRODUTO,"1,86"
405, PEGAR O CABO DE ALIMENTACAO,"0,9"
406, RETIRAR O CABO DE ALIMENTAÇÃO DA TOMADA E POSICIONAR NO PRODUTO,"2,5"
407, ADERIR O CODIGO DO PRODUTO NO PAINEL LATERAL,"1,76"
408, DESTACAR O CODIGO DA ZONA FRANCA,"2,4"
409, ADERIR O CODIGO DA ZONA FRANCA NO PAINEL LATERAL,1
410, DESTACAR O CODIGO DE IDENTIFICAÇÃO DO MODELO,"1,5"
411, ADERIR O CODIGO DE IDENTIFICAÇÃO DO PRODUTO NO PAINEL LATERAL,"1,1"
412, APERTAR BOTOEIRA E LIBERAR O PRODUTO,"1,66"
413, PEGAR OS 2 BICONETE SOBRE A BAIA,"1,03"
414, ENROSCAR O BICONETE NA VÁLVULA DE SUCÇÃO,2
415, ENROSCAR O BICONETE NA VÁLVULA DE DESCARGA,"1,63"
416, PEGAR A CHAVE COMBINADA,"0,73"
417, APERTAR O BICONETE VÁLVULA DE DESCARGA COM CHAVE COMBINADA,"0,96"
418, APERTAR BICONETE VÁLVULA DE SUCÇÃO COM CHAVE COMBINADA,"1,1"
419, POSICIONAR CHAVE COMBINADA SOBRE A BAIA,"0,53"
420, PEGAR A MANGUEIRA DER SUCÇÃO,"2,03"
421, CONECTAR A MANGUEIRA DE SUCÇÃO,"1,3"
422, PEGAR A MANGUEIRA DE DESCARGA,"0,53"
423, CONECTAR A MANGUEIRA DE DESCARGA,"1,43"
424, PEGAR O CABO DE ALIMENTAÇÃO,"0,83"
425, CONECTAR O CABO DE ALIMENTAÇÃO,"1,3"
426, PEGAR CHAVE ALLEN,"0,36"
427, PEGAR O CÓDIGO SOBRE O PALLET,"0,9"
428, LER O CÓDIGO DO APARELHO E BAIA,"2,46"
429, POSICIONAR O LEITOR NO SUPORTE,"0,63"
430, VERIFICAR SE A VENTILAÇÃO ESTÁ CORRETA,"1,1"
431, ABRIR A VÁLVULA DE DESCARGA E SUCÇÃO,"2,98"
432, PEGAR A CHAVE ALLEN,"1,3"
433, FECHAR A VÁLVULA DE DESCARGA,"2,56"
434, FECHAR A VÁLVULA DE SUCÇÃO,"1,76"
435, RETIRAR O CABO DE ALIMENTAÇÃO,"1,06"
436, DESCONECTAR AS 2 MANGUEIRAS,"2,7"
437, PEGAR CHAVE COMBINADA,1
438, DESENROSCAR  2 BICONETES COM CHAVE COMBINADA,"3,3"
439, OS 2 BICONETES,"2,05"
440, APERTAR BOTOEIRA PARA LIBERAR O PRODUTO,"1,06"
441, PEGAR OS 2 BICONETE SOBRE A BAIA,"1,03"
442, ENROSCAR O BICONETE NA VÁLVULA DE SUCÇÃO,2
443, ENROSCAR O BICONETE NA VÁLVULA DE DESCARGA,"1,63"
444, PEGAR A CHAVE COMBINADA,"0,73"
445, APERTAR O BICONETE VÁLVULA DE DESCARGA COM CHAVE COMBINADA,"0,96"
446, APERTAR BICONETE VÁLVULA DE SUCÇÃO COM CHAVE COMBINADA,"1,1"
447, POSICIONAR CHAVE COMBINADA SOBRE A BAIA,"0,53"
448, PEGAR A MANGUEIRA DER SUCÇÃO,"2,03"
449, CONECTAR A MANGUEIRA DE SUCÇÃO,"1,3"
450, PEGAR A MANGUEIRA DE DESCARGA,"0,53"
451, CONECTAR A MANGUEIRA DE DESCARGA,"1,43"
452, PEGAR O CABO DE ALIMENTAÇÃO,"0,83"
453, CONECTAR O CABO DE ALIMENTAÇÃO,"1,3"
454, PEGAR CHAVE ALLEN,"0,36"
455, PEGAR O CÓDIGO SOBRE O PALLET,"0,9"
456, LER O CÓDIGO DO APARELHO E BAIA,"2,46"
457, POSICIONAR O LEITOR NO SUPORTE,"0,63"
458, VERIFICAR SE A VENTILAÇÃO ESTÁ CORRETA,"1,1"
459, ABRIR A VÁLVULA DE DESCARGA E SUCÇÃO,"2,98"
460, PEGAR A CHAVE ALLEN,"1,3"
461, FECHAR A VÁLVULA DE DESCARGA,"2,56"
462, FECHAR A VÁLVULA DE SUCÇÃO,"1,76"
463, RETIRAR O CABO DE ALIMENTAÇÃO,"1,06"
464, DESCONECTAR AS 2 MANGUEIRAS,"2,7"
465, PEGAR CHAVE COMBINADA,1
466, DESENROSCAR  2 BICONETES COM CHAVE COMBINADA,"3,3"
467, DESENROSCAR OS 2 BICONETES,"2,05"
468, APERTAR BOTOEIRA PARA LIBERAR O PRODUTO,"1,06"
469, PEGAR A PISTOLA DE JATO DE AR NO SUPORTE,"1,4"
470, DESCONTAMINAR AS VÁLVULAS COM A PISTOLA DE JATO DE AR,"4,5"
471, POSICIONAR A PISTOLA DE JATO DE AR NO SUPORTE,"1,33"
472, PEGAR A CHAVE DE TORQUIMETRO,"1,05"
473, APERTAR AS VALVULAS DE SERVIÇO COM CHAVE DE TORQUIMETRO,"6,6"
474, POSICIONAR A CHAVE DE TORQUIMETRO NA MESA,1
475, PEGAR A PONTEIRA DO SNIFER SOBRE A MESA,"1,16"
476, FAZER O TESTE DE VAZAMENTO COM PONTEIRA DE SNIFER NAS VLAVULAS DE SERVIÇO,"3,73"
477, POSICIONAR A PONTEIRA DO SNIFER SOBRE A MESA,"1,06"
478, PEGAR A TAMPA METALICA DAS VALVULAS NO MARFINITE,"1,56"
479, ENROSCAR AS TAMPAS DAS VÁLVULAS METALICA DE SUCÇÃO E DESCARGA NA VÁLVULA DE SERVIÇO,"5,53"
480, APERTAR A BOTOEIRA E LIBERAR O PRODUTO,"1,7"
481, PEGAR ETIQUETA DE ADVERTENCIA,"3,05"
482, ADERIR ETIQUETA DE ADVERTENCIA NO PAINEL LATERAL,"2,1"
483, PEGAR O CABO DE ALIMENTAÇÃO,"0,91"
484, CONECTAR O CABO DE ALIMENTAÇÃO NA TOMADA,"2,12"
485, FAZER O TESTE DE RUÍDO,"10,31"
486, RETIRAR O CABO DE ALIMENTAÇÃO DA TOMADA,"1,53"
487, APERTAR BOTOEIRA E LIBERAR O PRODUTO,"2,6"
488, PEGAR PARAFUSADEIRA E CABO DE ALIMENTAÇÃO,"3,15"
489, RETIRAR CABO DE ALIMENTAÇÃO DA BORNEIRA,"5,25"
490, APERTAR COM PARAFUSADEIRA PARAFUSOS DA BORNEIRA,"3,09"
491, PEGAR PARAFUSO NO MARFINITE,"2,54"
492, POSICIONAR PARAFUSO NA PARAFUSADEIRA,"1,8"
493, PEGAR A TAMPA DA BORNEIRA,"2,36"
494, POSICIONAR A TAMPA DA BORNEIRA NO PRODUTO,"0,9"
495, FIXAR A TAMPA DA BORNEIRA COM 1° PARAFUSO NO PRODUTO,"2,66"
496, FIXAR A TAMPA DA BORNEIRA COM 2°PARAFUSO NO PRODUTO,"3,01"
497, POSICIONAR A PARAFUSADEIRA NO SUPORTE,"1,3"
498, PEGAR A TAMPA PLASTICA DAS VASLVULAS DE SERVIÇO,"0,53"
499, ENROSCAR AS TAMPAS DE PLASTICO NA VALVULA DE SERVIÇO,"6,6"
500, APERTAR BOTOEIRA E LIBERAR O PRODUTO,"1,9"
501, PEGAR A TALHA,"1,06"
502, POSICIONAR A TALHA SOBRE O PRODUTO,"4,18"
503, LEVANTAR O PRODUTO COM TALHA,"3,95"
504, PEGAR O CÓDIGO SOBRE O PALET E PASSAR O CODIGO PARA O POSTO P150,"2,53"
505, POSICIONAR O PRODUTO SOBRE A BASE DE PAPELÃO,"4,2"
506, RETIRAR A TALHA SOBRE O PRODUTO,"1,23"
507, PEGAR O CÓDIGO DO P150,"1,36"
508, DESTACAR O CÓDIGO R22,"0,96"
509, ADERIR O CÓDIGO DE R22 NA BASE DE PAPELÃO DO PRODUTO,1.46
510, PEGAR SACO PLÁSTICO NO FLOW RACK,"1,9"
511, POSICIONAR O SACO PLÁSTICO NO PRODUTO,"4,32"
512, POSICIONAR CAIXA DE EMBALAGEM DO PRODUTO NA BASE DE PAPELÃO DO PRODUTO,"3,86"
513, GIRAR E DISPONIBILIZAR O PRODUTO,"4,86"
514, PEGAR BASE DE PAPELÃO DO PRODUTO,"2,15"
515, POSICIONAR A BASE DE PAPELÃO DO PRODUTO NA MESA,"2,47"
516, PEGAR O CODIGO DO PRODUTO DO POSTO P140,"1,6"
517, DESTACAR O CÓDIGO DO PRODUTO,"3,86"
518, ADERIR O CÓDIGO NA EMBALAGEM DO PRODUTO,"2,93"
519, FAZER MARCAÇÃO DO TURNO NO CODIGO DO PRODUTO,"0,96"
520, FAZER ANOTAÇÃO HORA A HORA DO PRODUTO,"4,07"
521, PEGAR A EMBALAGEM DO PRODUTO,"1,06"
522, POSICIONAR A EMBALAGEM NO PRODUTO,"7,67"
523, PEGAR A EMBALAGEM SOBRE A MESA,"2,53"
524, FECHAR A CAIXA DE EMBALAGEM DO PRODUTO,"5,7"
525, PEGAR A PASSA FITA,"2,18"
526, FECHAR O PRODUTO COM A FITA ADESIVA,"4,15"
527, POSICIONAR O PASSA FITA NO SUPORTE,"1,13"
528, PEGAR O EPS SUPERIOR NO FLOW RACK,"3,28"
529, POSICIONAR O EPS SUPERIOR DENTRO DA CAIXA,"4,18"
530, DISPONIBILIZAR A CAIXA DE EMBALAGEM PARA O POSTO P.150B,"3,53"
531, GIRAR O BOTÃO DO ROLET PARA POSICIONAR O PRODUTO NA CINTADEIRA,"1,3"
532, APERTAR A BOTOEIRA VERDE PARA FAZER A 1°CINTA,"0,96"
533, GIRAR O BOTÃO DO ROLETE PARA POSICIONAR O PRODUTO NA CINTADEIRA,2
534, APERTAR A BOTOEIRA VERDE PARA FAZER A 2° CINTA DO PRODUTO,"0,96"
535, GIRAR O PRODUTO PARA POSICIONAR O PRODUTO,"2,23"
536, APERTAR A BOTOEIRA VERDE PARA FAZER A 3°CINTA DO PRODUTO,"2,06"
537, GIRAR O BOTÃO PARA DISPONIBILIZAR PARA O PRÓXIMO POSTO,"1,66"
538, EMPURRAR OS APARELHOS NO CARRO,"3,03"
539, LEVAR O CARRO ATÉ O ARMAZENAMENTO,"5,05"
540, POSICIONAR 4 PRODUTOS ATÉ O ARMAZENAMENTO,"30,05"
541, LEVAR O CARRO ATÉ O ARMAZENAMENTO,"5,05"
542, POSICIONAR 5 PRODUTOS ATÉ O ARMAZENAMENTO,"30,05"
543, PEGAR PRODUTO NO PALETE COM A TALHA,"4,15"
544, POSICIONAR PRODUTO SOBRE A MESA,"2,15"
545, PEGAR O ESTILETE NO SUPORTE,"0,83"
546, CORTAR CINTA DA EMBALGAM DO PRODUTO,"0,76"
547, CORTAR SEGUNDA CINTA DO PRODUTO,"1,46"
548, ENTREGAR CINTA PARA O OPERADOR DO POSTO SM10A,"1,93"
549, RETIRAR A PROTEÇÃO DE PAPELÃO DO PRODUTO,"1,06"
550, CORTAR FITA ADESIVA DA EMBALAGEM DO PRODUTO,2
551, PEGAR A CAIXA DE EMBALAGEM DO PRODUTO,"1,63"
552, LEVANTAR CAIXA DO PRODUTO E SOLTAR,"0,86"
553, PEGAR O EPS SUPERIOR E BASE DO PRODUTO,"0,6"
554, POSICIONAR O EPS NO CARRO E BASE NO FLOW RACK,"6,15"
555, PEGAR CAIXA DE EMBALAGEM DO PRODUTO,"2,15"
556, DISPONIBILIZAR EMBALAGEM DDO PRODUTO NO FLOW RACK,"6,03"
557, PEGAR O ESTILETE NO SUPORTE,"0,8"
558, CORTAR PRIMEIRA CINTA DO PRODUTO,"0,83"
559, PEGAR CINTA DO OPERADOR DO POSTO SM10A,1
560, DESCARTAR A CINTA DA EMBALAGEM DO PRODUTO,"1,1"
561, CORTAR A FITA ADESIVA DO PRODUTO,1
562, POSICIONAR O ESTILETE NO SUPORTE,"2,06"
563, ABRIR CAIXA DE EMBALAGEM DO PRODUTO,"3,33"
564, PEGAR O SACO PLÁSTICO DO PRODUTO,"1,1"
565, RETIRAR O SACO PLÁSTICO,"1,5"
566, POSICIONAR NO FLOW RACK,"2,53"
567, PEGAR O EPS SUPERIOR E BASE DO PRODUTO,"4,15"
568, RETIRAR O EPS SUPERIOR NA CAIXA DE EMBALAGEM E BASE DO PRODUTO,"3,52"
569, POSICIONAR O EPS NO CARRO E BASE DO PRODUTO NO FLOW RACK,"4,86"
570, DISPONIBILIZAR PARA O PRÓXIMO POSTO,1
571, PEGAR A PARAFUSADEIRA,"1,1"
572, RETIRAR 1 PARAFUSO DO PAINEL LATERAL COM O SUPORTE DAS VÁLVULAS DE SERVIÇO,"1,89"
573, RETIRAR 1 PARAFUSO DO PAINEL LATERAL COM O SUPORTE DAS VÁLVULAS DE SERVIÇO,"1,48"
574, RETIRAR 1 PARAFUSO DO PAINEL LATERAL COM O SUPORTE DAS VÁLVULAS DE SERVIÇO,"1,89"
575, RETIRAR 1 PARAFUSO DA BASE METÁLICA COM O SUPORTE DAS VÁLVULAS DE SERVIÇO,"2,15"
576, RETIRAR 1 PARAFUSO DA BASE METÁLICA COM O SUPORTE DAS VÁLVULAS DE SERVIÇO,"1,93"
577, RETIRAR 1 PARAFUSO DO PAINEL FRONTAL COM O PAINEL LATERAL,"2,14"
578, RETIRAR 1 PARAFUSO DO PAINEL LATERAL COM O SUPORTE DE COMPONENTES,"2,02"
579, RETIRAR 1 PARAFUSO DA TAMPA SUPERIOR COM O PAINEL FRONTAL,"2,14"
580, RETIRAR 1 PARAFUSO DA TAMPA SUPERIOR COM O PAINEL LATERAL,"2,87"
581, RETIRAR 1 PARAFUSO DO PAINEL LATERAL COM O CONDENSADOR (SUPERIOR),"2,75"
582, RETIRAR PARAFUSO DO PAINEL LATERAL COM O CONDENSADOR (INFERIOR),"1,98"
583, RETIRAR 1 PARAFUSO DO PAINEL LATERAL COM A BASE METÁLICA,"2,01"
584, DISPONIBILIZAR PRODUTO PARA O PRÓXIMO POSTO,"0,87"
585, RETIRAR 1° PARAFUSO SEPARADOR SUPERIOR,"2,89"
586, RETIRAR 2°PARAFUSO SEPARADOR INFERIOR,"3,56"
587, DISPONIBILIZAR O PRODUTO PARA O PROXIMO POSTO,"1,26"
588, PEGAR O PRODUTO,"0,89"
589, RETIRAR 1 PARAFUSO DA TAMPA SUPERIOR COM PAINEL FRONTAL,"2,1"
590, RETIRAR 1 PARAFUSO DO PAINEL FRONTAL COM A BASE METÁLICA,"1,89"
591, RETIRAR 1 PARAFUSO DO PAINEL FRONTAL COM A BASE METÁLICA,"2,69"
592, RETIRAR 1 PARAFUSO DO PAINEL FRONTAL COM O CONDENSADOR,"2,1"
593, RETIRAR 1 PARAFUSO DA TAMPA SUPERIOR COM A CANTONEIRA,"1,59"
594, RETIRAR 1 PARAFUSO DA CANTONEIRA COM A BASE METÁLICA,"3,1"
595, ARMAZENAR CANTONEIRA NO MARFINITE,"2,15"
596, RETIRAR 1 PARAFUSO DO PAINEL FRONTAL COM O SUPORTE DO MOTOR VENTILADOR,"1,76"
597, RETIRAR 1 PARAFUSO DO PAINEL FRONTAL COM O SEPARADOR,"1,92"
598, PEGAR ALICATE NO SUPORTE,1
599, POSICIONAR O ALICATE NO AXIAL,"0,89"
600, CORTAR ABRAÇADEIRA DO AXIAL,"1,81"
601, DESCARTAR ABRAÇADEIRA NO COLETOR,"2,1"
602, PEGAR VEDAÇÃO DO CONDENSADOR,"0,83"
603, POSICIONAR VEDAÇÃO NO SUPORTE DO MOTOR VENTILADOR,"0,63"
604, PEGAR PAINEL LATERAL,"2,36"
605, RETIRAR PAINEL LATERAL,"1,86"
606, POSICIONAR PAINEL LATERAL NO CARRO,"2,63"
607, APROXIMAR-SE DO PRODUTO,"3,16"
608, PEGAR TAMPA SUPERIOR E PAINEL FRONTAL,"0,86"
609, RETIRAR TAMPA SUPERIOR DO PAINEL FRONTAL,"2,63"
610, POSICIONAR PAINEL FRONTAL NO CARRO,"3,15"
611, APROXIMAR-SE DO PRODUTO,"1,2"
612, PEGAR TAMPA SUPERIOR,"2,28"
613, DISPONIBILIZAR TAMPA SUPERIOR NO CARRO,"3,67"
614, PEGAR PARAFUSADEIRA,1
615, APROXIMAR DO PRODUTO,"0,98"
616, RETIRAR PARAFUSO 1 DO COMPRESSOR,"2,66"
617, RETIRAR PARAFUSO 2 DO COMPRESSOR,"3,01"
618, RETIRAR PARAFUSO 3 DO COMPRESSOR,"2,28"
619, POSICIONAR PARAFUSOS NO MARFINITE,"1,56"
620, PEGAR COMPRESSOR,"1,76"
621, POSICIONAR COMPRESSOR SOBRE A BANCADA,"2,81"
622, PEGAR CONDENSADOR,"2,89"
623, POSICIONAR CONDENSADOR SOBRE A BASE DO PRÓXIMO PRODUTO,"0,98"
624, PEGAR PARAFUSADEIRA NO SUPORTE,"0,89"
625, FIXAR 1 PARAFUSO DO CONDENSADOR COM A BASE,"3,02"
626, POSICIONAR SUPORTE DO MOTOR VENTILADOR SOBRE A BASE,"4,56"
627, PEGAR PARAFUSO 2 NA BASE METÁLICA,"0,48"
628, POSICIONAR PARAFUSO 2 NA PARAFUSADEIRA,"1,02"
629, FIXAR PARAFUSO  2 NO SUPORTE INFERIOR DO AXIAL,"3,48"
630, PEGAR PARAFUSO 3 NA BASE METÁLICA,"0,97"
631, FIXAR PARAFUSO  3 NO SUPORTE INFERIOR DO AXIAL,"3,45"
632, POSICIONAR O AXIAL SOBRE O CONDENSADOR E SUPORTE DO MOTOR VENTILADOR,"1,13"
633, DISPONIBILIZAR O PRODUTO PARA O PROXIMO POSTO,"1,26"
634, PEGAR PARAFUSADEIRA NO SUPORTE,"0,56"
635, PEGAR PARAFUSO 1 NA BASE METÁLICA,"0,48"
636, POSICIONAR PARAFUSO 1 NA PARAFUSADEIRA,"0,98"
637, FIXAR PARAFUSO CONDESSADOR NA BASE,"2,1"
638, PEGAR O SEPARADOR,"2,15"
639, POSICIONAR PARAFUSO 2 NA PARAFUSADEIRA,"1,02"
640, FIXAR PARAFUSO  2 NO SEPARADOR INFERIOR,"3,48"
641, PEGAR PARAFUSO 3 NA BASE METÁLICA,"0,97"
642, FIXAR PARAFUSO  3 NO SEPARADOR SUPERIOR,"3,45"
643, PEGAR PARAFUSO 4 NA BASE METÁLICA,1
644, POSICIONAR PRAFUSO 4 NA PARAFUSADEIRA,"0,56"
645, FIXAR SUPORTE DA VÁLVULA DE SERVIÇO,"2,37"
646, PEGAR PARAFUSO 3 NA BASE METÁLICA,"0,58"
647, POSICIONAR PARAFUSO NA PARAFUSADEIRA,"1,1"
648, FIXAR SUPORTE DA VÁLVULA DE SERVIÇO,"2,71"
649, POSICIONAR PARAFUSADEIRA NO SUPORTE,"1,45"
650, DISPONIBILIZAR PRODUTO PARA O P´ROXIMO POSTO,"0,89"
